primary_account_number,tier_coeff,amount_difference,total_payroll,total_credit_amount,total_debit_amount,avg_spend,transaction_count,credit_debit_ratio,financial_score,standing,cluster,predicted_standing
2221153368844433,1.0,28925.44,0.47495680841958443,1040.06,29965.5,0.5216769845517863,0.25000000000000006,5.697129111575791e-06,0.17656889363040942,high,2,high
2221190725873390,0.75,-286.06,0.0,286.06,0.0,0.02868742362576879,0.0,0.046955970775218354,0.00841353665249147,medium,0,low
2221200953662199,0.75,-74.18,0.0,74.18,0.0,0.007289510094022361,0.0,0.012176445193685584,0.002192986911527579,low,0,low
2221244694397426,0.5,1509.0,0.02391783297142223,0.0,1509.0,0.15219301346206282,0.0,0.0,-0.0034240299031042514,low,0,low
2221446358521106,1.0,9615.1,0.1524005008638316,0.0,9615.1,0.9708338803663944,0.0,0.0,-0.04374321273429839,low,1,medium
2221533645257774,1.0,28903.660000000003,0.4862880601036598,3393.13,32296.79,0.27705576319074743,0.6,1.7244927857510215e-05,0.29250041819556344,high,2,high
2221710021946721,0.5,-678.44,0.0,678.44,0.0,0.06831416192851877,0.0,0.11136408030741503,0.013288903949686315,medium,0,low
2221730816348115,0.5,-879.18,0.0,879.18,0.0,0.08858703885112958,0.0,0.1443150051952614,0.017217898836732727,medium,0,low
2221812191361937,1.0,30060.62,0.4609215260496743,552.83,30613.45,0.4494415934604181,0.30000000000000004,2.9641408069974814e-06,0.19137926401358626,high,2,high
2221896760406231,0.5,-171.13,0.0,171.13,0.0,0.01708056029650875,0.0,0.028090523941701452,0.00335955057642978,medium,0,low
2221959351863879,0.75,10205.300000000001,0.19530836410898544,2116.9,12322.2,0.13236302674693287,0.5,2.819749545444918e-05,0.13509756300906597,high,1,medium
2222020275884258,1.0,-755.0800000000002,0.016850422405731404,3618.4900000000002,2863.41,0.054348996993842935,0.55,0.00020736043004188507,0.13802495627163427,high,1,medium
2222182339845467,0.75,1693.4600000000003,0.1293845397917294,6469.54,8163.0,0.12294391312105085,0.55,0.0001300780733279258,0.12789691577774895,high,1,medium
2222228160648429,0.75,1530.0399999999995,0.07802063685787196,3482.59,5012.629999999999,0.07779241633148459,0.5,0.00011402071435896503,0.10842164061106081,high,1,medium
2222274621334597,0.75,-45.64,0.0,45.64,0.0,0.004407234975105788,0.0,0.007491681836611081,0.0013550857901045588,low,0,low
2222428341108091,1.0,142.74999999999986,0.023253078886053477,1324.31,1467.06,0.035035826457548554,0.35000000000000003,0.00014807425018143,0.09217941723941829,high,1,medium
